date,market_value
1995-02-17,481.97
1995-02-20,481.97
1995-02-21,482.74
1995-02-22,485.07
1995-02-23,486.91
1995-02-24,488.11
1995-02-27,483.81
1995-02-28,487.39
1995-03-01,485.65
1995-03-02,485.13
1995-03-03,485.42
1995-03-06,485.63
1995-03-07,482.12
1995-03-08,483.14
1995-03-09,483.16
1995-03-10,489.57
1995-03-13,490.05
1995-03-14,492.89
1995-03-15,491.88
1995-03-16,495.41
1995-03-17,495.52
1995-03-20,496.15
1995-03-21,495.07
1995-03-22,495.67
1995-03-23,495.95
1995-03-24,500.97
1995-03-27,503.2
1995-03-28,503.9
1995-03-29,503.12
1995-03-30,502.22
1995-03-31,500.71
1995-04-03,501.85
1995-04-04,505.24
1995-04-05,505.57
1995-04-06,506.08
1995-04-07,506.42
1995-04-10,507.01
1995-04-11,505.53
1995-04-12,507.17
1995-04-13,509.23
1995-04-14,509.23
1995-04-17,506.13
1995-04-18,505.37
1995-04-19,504.92
1995-04-20,505.29
1995-04-21,508.49
1995-04-24,512.89
1995-04-25,512.1
1995-04-26,512.66
1995-04-27,513.55
1995-04-28,514.71
1995-05-01,514.26
1995-05-02,514.86
1995-05-03,520.48
1995-05-04,520.54
1995-05-05,520.12
1995-05-08,523.96
1995-05-09,523.56
1995-05-10,524.36
1995-05-11,524.37
1995-05-12,525.55
1995-05-15,527.74
1995-05-16,528.19
1995-05-17,527.07
1995-05-18,519.58
1995-05-19,519.19
1995-05-22,523.65
1995-05-23,528.59
1995-05-24,528.61
1995-05-25,528.59
1995-05-26,523.65
1995-05-29,523.65
1995-05-30,523.58
1995-05-31,533.4
1995-06-01,533.49
1995-06-02,532.51
1995-06-05,535.6
1995-06-06,535.55
1995-06-07,533.13
1995-06-08,532.35
1995-06-09,527.94
1995-06-12,530.88
1995-06-13,536.05
1995-06-14,536.47
1995-06-15,537.12
1995-06-16,539.83
1995-06-19,545.22
1995-06-20,544.98
1995-06-21,543.98
1995-06-22,551.07
1995-06-23,549.71
1995-06-26,544.13
1995-06-27,542.43
1995-06-28,544.73
1995-06-29,543.87
1995-06-30,544.75
1995-07-03,547.09
1995-07-04,547.09
1995-07-05,547.26
1995-07-06,553.99
1995-07-07,556.37
1995-07-10,557.19
1995-07-11,554.78
1995-07-12,560.89
1995-07-13,561.0
1995-07-14,559.89
1995-07-17,562.72
1995-07-18,558.46
1995-07-19,550.98
1995-07-20,553.54
1995-07-21,553.62
1995-07-24,556.63
1995-07-25,561.1
1995-07-26,561.61
1995-07-27,565.22
1995-07-28,562.93
1995-07-31,562.06
1995-08-01,559.64
1995-08-02,558.8
1995-08-03,558.75
1995-08-04,558.94
1995-08-07,560.03
1995-08-08,560.39
1995-08-09,559.71
1995-08-10,557.45
1995-08-11,555.11
1995-08-14,559.74
1995-08-15,558.57
1995-08-16,559.97
1995-08-17,559.04
1995-08-18,559.21
1995-08-21,558.11
1995-08-22,559.52
1995-08-23,557.14
1995-08-24,557.46
1995-08-25,560.1
1995-08-28,559.05
1995-08-29,560.0
1995-08-30,560.92
1995-08-31,561.88
1995-09-01,563.84
1995-09-04,563.84
1995-09-05,569.17
1995-09-06,570.17
1995-09-07,570.29
1995-09-08,572.68
1995-09-11,573.91
1995-09-12,576.51
1995-09-13,578.77
1995-09-14,583.61
1995-09-15,583.35
1995-09-18,582.77
1995-09-19,584.2
1995-09-20,586.77
1995-09-21,583.0
1995-09-22,581.73
1995-09-25,581.81
1995-09-26,581.41
1995-09-27,581.04
1995-09-28,585.87
1995-09-29,584.41
1995-10-02,581.72
1995-10-03,582.34
1995-10-04,581.47
1995-10-05,582.63
1995-10-06,582.49
1995-10-09,578.37
1995-10-10,577.52
1995-10-11,579.46
1995-10-12,583.1
1995-10-13,584.5
1995-10-16,583.03
1995-10-17,586.78
1995-10-18,587.44
1995-10-19,590.65
1995-10-20,587.46
1995-10-23,585.06
1995-10-24,586.54
1995-10-25,582.47
1995-10-26,576.72
1995-10-27,579.7
1995-10-30,583.25
1995-10-31,581.5
1995-11-01,584.22
1995-11-02,589.72
1995-11-03,590.57
1995-11-06,588.46
1995-11-07,586.32
1995-11-08,591.71
1995-11-09,593.26
1995-11-10,592.72
1995-11-13,592.3
1995-11-14,589.29
1995-11-15,593.96
1995-11-16,597.34
1995-11-17,600.07
1995-11-20,596.85
1995-11-21,600.24
1995-11-22,598.4
1995-11-23,598.4
1995-11-24,599.97
1995-11-27,601.32
1995-11-28,606.45
1995-11-29,607.64
1995-11-30,605.37
1995-12-01,606.98
1995-12-04,613.68
1995-12-05,617.68
1995-12-06,620.18
1995-12-07,616.17
1995-12-08,617.48
1995-12-11,619.52
1995-12-12,618.78
1995-12-13,621.69
1995-12-14,616.92
1995-12-15,616.34
1995-12-18,606.81
1995-12-19,611.93
1995-12-20,605.94
1995-12-21,610.49
1995-12-22,611.96
1995-12-25,611.96
1995-12-26,614.3
1995-12-27,614.53
1995-12-28,614.12
1995-12-29,615.93
1996-01-01,615.93
1996-01-02,620.73
1996-01-03,621.32
1996-01-04,617.7
1996-01-05,616.71
1996-01-08,618.46
1996-01-09,609.45
1996-01-10,598.48
1996-01-11,602.69
1996-01-12,601.81
1996-01-15,599.82
1996-01-16,608.44
1996-01-17,606.37
1996-01-18,608.24
1996-01-19,611.83
1996-01-22,613.4
1996-01-23,612.79
1996-01-24,619.96
1996-01-25,617.03
1996-01-26,621.62
1996-01-29,624.22
1996-01-30,630.15
1996-01-31,636.02
1996-02-01,638.46
1996-02-02,635.84
1996-02-05,641.43
1996-02-06,646.33
1996-02-07,649.93
1996-02-08,656.07
1996-02-09,656.37
1996-02-12,661.45
1996-02-13,660.51
1996-02-14,655.58
1996-02-15,651.32
1996-02-16,647.98
1996-02-19,647.98
1996-02-20,640.65
1996-02-21,648.1
1996-02-22,658.86
1996-02-23,659.08
1996-02-26,650.46
1996-02-27,647.24
1996-02-28,644.75
1996-02-29,640.43
1996-03-01,644.37
1996-03-04,650.81
1996-03-05,655.79
1996-03-06,652.0
1996-03-07,653.65
1996-03-08,633.5
1996-03-11,640.02
1996-03-12,637.09
1996-03-13,638.55
1996-03-14,640.87
1996-03-15,641.43
1996-03-18,652.65
1996-03-19,651.69
1996-03-20,649.98
1996-03-21,649.19
1996-03-22,650.62
1996-03-25,650.04
1996-03-26,652.97
1996-03-27,648.91
1996-03-28,648.94
1996-03-29,645.5
1996-04-01,653.73
1996-04-02,655.26
1996-04-03,655.88
1996-04-04,655.86
1996-04-05,655.86
1996-04-08,644.24
1996-04-09,642.19
1996-04-10,633.5
1996-04-11,631.18
1996-04-12,636.71
1996-04-15,642.49
1996-04-16,645.0
1996-04-17,641.61
1996-04-18,643.61
1996-04-19,645.07
1996-04-22,647.89
1996-04-23,651.58
1996-04-24,650.17
1996-04-25,652.87
1996-04-26,653.46
1996-04-29,654.16
1996-04-30,654.17
1996-05-01,654.58
1996-05-02,643.38
1996-05-03,641.63
1996-05-06,640.81
1996-05-07,638.26
1996-05-08,644.77
1996-05-09,645.44
1996-05-10,652.09
1996-05-13,661.51
1996-05-14,665.6
1996-05-15,665.42
1996-05-16,664.85
1996-05-17,668.91
1996-05-20,673.15
1996-05-21,672.76
1996-05-22,678.42
1996-05-23,676.0
1996-05-24,678.51
1996-05-27,678.51
1996-05-28,672.23
1996-05-29,667.93
1996-05-30,671.7
1996-05-31,669.12
1996-06-03,667.68
1996-06-04,672.56
1996-06-05,678.44
1996-06-06,673.03
1996-06-07,673.31
1996-06-10,672.16
1996-06-11,670.97
1996-06-12,669.04
1996-06-13,667.92
1996-06-14,665.85
1996-06-17,665.16
1996-06-18,662.06
1996-06-19,661.96
1996-06-20,662.1
1996-06-21,666.84
1996-06-24,668.85
1996-06-25,668.48
1996-06-26,664.39
1996-06-27,668.55
1996-06-28,670.63
1996-07-01,675.88
1996-07-02,673.61
1996-07-03,672.4
1996-07-04,672.4
1996-07-05,657.44
1996-07-08,652.54
1996-07-09,654.75
1996-07-10,656.06
1996-07-11,645.67
1996-07-12,646.19
1996-07-15,629.8
1996-07-16,628.37
1996-07-17,634.07
1996-07-18,643.56
1996-07-19,638.73
1996-07-22,633.77
1996-07-23,626.87
1996-07-24,626.65
1996-07-25,631.17
1996-07-26,635.9
1996-07-29,630.91
1996-07-30,635.26
1996-07-31,639.95
1996-08-01,650.02
1996-08-02,662.49
1996-08-05,660.23
1996-08-06,662.38
1996-08-07,664.16
1996-08-08,662.59
1996-08-09,662.1
1996-08-12,665.77
1996-08-13,660.2
1996-08-14,662.05
1996-08-15,662.28
1996-08-16,665.21
1996-08-19,666.58
1996-08-20,665.69
1996-08-21,665.07
1996-08-22,670.68
1996-08-23,667.03
1996-08-26,663.88
1996-08-27,666.4
1996-08-28,664.81
1996-08-29,657.4
1996-08-30,651.99
1996-09-02,651.99
1996-09-03,654.72
1996-09-04,655.61
1996-09-05,649.44
1996-09-06,655.68
1996-09-09,663.76
1996-09-10,663.81
1996-09-11,667.28
1996-09-12,671.15
1996-09-13,680.54
1996-09-16,683.98
1996-09-17,682.94
1996-09-18,681.47
1996-09-19,683.0
1996-09-20,687.03
1996-09-23,686.48
1996-09-24,685.61
1996-09-25,685.83
1996-09-26,685.86
1996-09-27,686.19
1996-09-30,687.31
1996-10-01,689.08
1996-10-02,694.01
1996-10-03,692.78
1996-10-04,701.46
1996-10-07,703.34
1996-10-08,700.64
1996-10-09,696.74
1996-10-10,694.61
1996-10-11,700.66
1996-10-14,703.54
1996-10-15,702.57
1996-10-16,704.41
1996-10-17,706.99
1996-10-18,710.82
1996-10-21,709.85
1996-10-22,706.57
1996-10-23,707.27
1996-10-24,702.29
1996-10-25,700.92
1996-10-28,697.26
1996-10-29,701.5
1996-10-30,700.9
1996-10-31,705.27
1996-11-01,703.77
1996-11-04,706.73
1996-11-05,714.14
1996-11-06,724.59
1996-11-07,727.65
1996-11-08,730.82
1996-11-11,731.87
1996-11-12,729.56
1996-11-13,731.13
1996-11-14,735.88
1996-11-15,737.62
1996-11-18,737.02
1996-11-19,742.16
1996-11-20,743.95
1996-11-21,742.75
1996-11-22,748.73
1996-11-25,757.03
1996-11-26,755.96
1996-11-27,755.0
1996-11-28,755.0
1996-11-29,757.02
1996-12-02,756.56
1996-12-03,748.28
1996-12-04,745.1
1996-12-05,744.38
1996-12-06,739.6
1996-12-09,749.81
1996-12-10,747.54
1996-12-11,740.73
1996-12-12,729.33
1996-12-13,728.64
1996-12-16,720.98
1996-12-17,726.04
1996-12-18,731.54
1996-12-19,745.76
1996-12-20,748.87
1996-12-23,746.92
1996-12-24,751.03
1996-12-25,751.03
1996-12-26,755.82
1996-12-27,756.79
1996-12-30,753.85
1996-12-31,740.74
